eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp156462690,2023-04-24,2023-04-24 18:58:50 UTC,39.9811175338,-75.1575800573,Black-and-white Warbler,Mniotilta varia,Black-and-white Warbler,"Window strike, collected."
bsp156463204,2023-04-24,2023-04-24 12:29:32 UTC,39.9817573357,-75.1557550152,House Wren,Troglodytes aedon,House Wren,"Windowstrike, Alive. Bird first seen 5 ft from overhang glass, flew and struck ground level glass and was then captured. Bird transported to wildlife clinic."
bsp156577418,2023-04-25,2023-04-25 13:43:14 UTC,39.9810659997,-75.1521244997,Kentucky Warbler,Geothlypis formosa,Kentucky Warbler,
bsp158997382,2023-03-26,,39.97803,-75.155541,American Woodcock,Scolopax minor,American Woodcock,Dead outside 1300 Residence Hall
bsp158998576,2023-04-27,,39.978056,-75.155307,American Woodcock,Scolopax minor,American Woodcock,Dead on awning over building enterence of 1300 Residence Hall. Condition indicates might have been there for about a week.
bsp159227759,2023-05-02,2023-05-02 18:15:59 UTC,39.8758560326,-75.2459192276,Gray Catbird,Dumetella carolinensis,Gray Catbird,Likely window collision from tower or window in terminal
bsp159503012,2023-05-03,2023-05-03 19:51:10 UTC,39.9567278428,-75.1919566189,American Woodcock,Scolopax minor,American Woodcock,
bsp159680539,2023-05-04,2023-05-04 16:24:47 UTC,39.8891617845,-75.1759179016,Black-throated Blue Warbler,Setophaga caerulescens,Black-throated Blue Warbler,Window strike outside Urban Outfitters Building 10
bsp159890307,2023-05-05,2023-05-05 16:49:40 UTC,39.948925,-75.192755,Bruant à gorge blanche,Zonotrichia albicollis,White-throated Sparrow,
bsp159893194,2023-05-05,2023-05-05 17:05:40 UTC,39.9521833333,-75.1958916667,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,
bsp159893342,2023-05-05,2023-05-05 17:08:09 UTC,39.95227,-75.1960216667,Ovenbird,Seiurus aurocapilla,Ovenbird,
bsp159922300,2023-05-05,2023-05-05 18:12:54 UTC,40.0277853844,-75.2250162427,House Sparrow,Passer domesticus,House Sparrow,
bsp160563433,2023-05-08,2023-05-08 14:21:46 UTC,39.952095,-75.1960616667,Northern Parula,Setophaga americana,Northern Parula,
bsp160569602,2023-05-08,2023-05-08 14:46:57 UTC,39.950025,-75.1980283333,Ovenbird,Seiurus aurocapilla,Ovenbird,
bsp160658839,2023-05-03,2023-05-03 12:55:13 UTC,39.9813193,-75.1528346,Gray Catbird,Dumetella carolinensis,Gray Catbird,
bsp160659054,2023-05-08,2023-05-08 13:57:47 UTC,39.9798661,-75.1552575997,Ovenbird,Seiurus aurocapilla,Ovenbird,
